app_id,genre
372000,RPG
372000,Free To Play
373420,Adventure
373420,Indie
373420,RPG
373420,Strategy
374040,Action
374040,Adventure
374040,RPG
374320,Action
377160,RPG
377300,Action
377300,Simulation
377300,Free To Play
378540,Action
378540,RPG
379430,Action
379430,Adventure
379430,RPG
379720,Action
380,Action
380600,Massively Multiplayer
380600,Simulation
380600,Sports
380600,Free To Play
381210,Action
383150,Action
383870,Adventure
383870,Indie
38400,RPG
386180,Action
386180,Adventure
386180,Massively Multiplayer
386180,Racing
386180,Free To Play
386360,Action
386360,Adventure
386360,Casual
386360,Massively Multiplayer
386360,RPG
386360,Strategy
386360,Free To Play
386940,Action
386940,Casual
386940,Indie
387290,Action
387990,Action
387990,Adventure
387990,Indie
387990,Simulation
387990,Early Access
388410,Action
388410,Adventure
388410,RPG
389430,Action
389430,Adventure
389430,Free To Play
389430,Massively Multiplayer
389430,RPG
389570,Casual
389570,Simulation
389570,Free To Play
389730,Action
389730,Sports
3910,Strategy
39120,Action
39120,Adventure
39120,Massively Multiplayer
39120,RPG
39120,Free To Play
391220,Action
391220,Adventure
39140,RPG
391460,Action
391460,Free To Play
391540,Indie
391540,RPG
391720,Adventure
391720,Indie
39210,Massively Multiplayer
39210,RPG
392110,Strategy
392160,Action
392160,Simulation
392160,Strategy
393380,Action
393380,Indie
393380,Massively Multiplayer
393380,Strategy
394360,Simulation
394360,Strategy
394510,Action
39500,Action
39500,RPG
395170,Adventure
395170,Casual
395170,Indie
397540,Action
397540,RPG
397900,Adventure
397900,Casual
397900,Indie
397900,Massively Multiplayer
397900,Simulation
397900,Strategy
397900,Free To Play
40,Action
400,Action
4000,Casual
4000,Indie
4000,Simulation
403640,Action
407530,Action
407530,Adventure
407530,Indie
407530,Massively Multiplayer
407530,RPG
407530,Strategy
40800,Indie
409710,Action
409710,RPG
409720,Action
409720,RPG
40990,Action
40990,Adventure
41000,Action
41000,Indie
410320,Action
41070,Action
41070,Indie
412020,Action
412220,Action
412220,Indie
412220,Free To Play
413150,Indie
413150,RPG
413150,Simulation
414340,Action
414340,Adventure
414340,Indie
414700,Action
414700,Adventure
414700,Indie
41500,RPG
417860,Adventure
417860,Casual
417860,Free To Play
417860,Indie
417860,Simulation
417910,Action
417910,Massively Multiplayer
417910,Simulation
417910,Sports
418070,Casual
418070,Indie
418240,Indie
418240,Strategy
418370,Action
418370,Adventure
418460,Action
418460,Massively Multiplayer
418460,Simulation
418460,Strategy
420,Action
424280,Action
424280,Indie
424280,Free To Play
424370,Action
424370,Adventure
424370,Indie
424370,RPG
424840,Adventure
42680,Action
42700,Action
42710,Action
427270,Action
427270,Free To Play
427270,Strategy
427520,Casual
427520,Indie
427520,Simulation
427520,Strategy
427730,Action
427730,Casual
427730,Indie
42910,Action
42910,RPG
431240,Casual
431240,Indie
431240,Sports
431730,Animation & Modeling
431730,Design & Illustration
431730,Game Development
431960,Casual
431960,Indie
431960,Animation & Modeling
