app_id,tag
1147550,First-Person
1147550,Singleplayer
1147550,Indie
1147560,Indie
1147560,Action
1147560,Action Roguelike
1147560,Pixel Graphics
1147560,2D
1147560,Rogue-like
1147560,Rogue-lite
1147560,Singleplayer
1147560,Platformer
1147560,Metroidvania
1147560,Difficult
1147560,Side Scroller
1147560,Hack and Slash
1147560,Adventure
1147560,Villain Protagonist
1147560,Action-Adventure
1147560,Fantasy
1147560,Story Rich
1147560,Multiplayer
1147560,Cute
1150690,Psychological Horror
1150690,Story Rich
1150690,Pixel Graphics
1150690,Indie
1150690,Great Soundtrack
1150690,RPG
1150690,Multiple Endings
1150690,RPGMaker
1150690,Hand-drawn
1150690,Horror
1150690,2D
1150690,Colorful
1150690,Turn-Based
1150690,Atmospheric
1150690,Party-Based RPG
1150690,Exploration
1150690,JRPG
1150690,Stylized
1150690,Anime
1150690,Fantasy
1151340,Open World
1151340,Multiplayer
1151340,Post-apocalyptic
1151340,Dark Comedy
1151340,RPG
1151340,Capitalism
1151340,Survival
1151340,Base-Building
1151340,Co-op
1151340,Shooter
1151340,Horror
1151340,MMORPG
1151340,Exploration
1151340,FPS
1151340,Singleplayer
1151340,Gore
1151340,Violent
1151340,Atmospheric
1151340,Great Soundtrack
1151340,Early Access
1151640,Open World
1151640,Adventure
1151640,Female Protagonist
1151640,Singleplayer
1151640,Story Rich
1151640,RPG
1151640,Action
1151640,Post-apocalyptic
1151640,Sci-fi
1151640,Robots
1151640,Third Person
1151640,Exploration
1151640,Beautiful
1151640,Atmospheric
1151640,Action RPG
1151640,Archery
1151640,Hunting
1151640,Great Soundtrack
1151640,Stealth
1151640,Dinosaurs
115300,Action
115300,FPS
115300,Multiplayer
115300,Shooter
115300,First-Person
115300,Singleplayer
115300,War
115300,Military
115300,Online Co-Op
115300,Co-op
115300,Controller
115300,Casual
115300,Story Rich
115300,Survival
115300,Linear
115300,Adventure
115300,Zombies
115300,Dog
115300,Massively Multiplayer
115300,Free to Play
1158310,Strategy
1158310,Medieval
1158310,Grand Strategy
1158310,Simulation
1158310,RPG
1158310,Historical
1158310,Management
1158310,Character Customization
1158310,Life Sim
1158310,Sandbox
1158310,RTS
1158310,Choices Matter
1158310,War
1158310,Singleplayer
1158310,Economy
1158310,Political
1158310,4X
1158310,Moddable
1158310,Multiplayer
1158310,Real-Time with Pause
1167630,Destruction
1167630,Physics
1167630,Sandbox
1167630,Voxel
1167630,First-Person
1167630,Singleplayer
1167630,Open World
1167630,Heist
1167630,Realistic
1167630,3D
1167630,Simulation
1167630,Action
1167630,Puzzle
1167630,Driving
1167630,Indie
1167630,Replay Value
1167630,Multiplayer
1167630,Tactical
1167630,Immersive Sim
1167630,Puzzle-Platformer
1172380,Action-Adventure
1172380,Souls-like
1172380,Third Person
1172380,Open World
1172380,Story Rich
1172380,Swordplay
1172380,Exploration
1172380,Sci-fi
1172380,Action
1172380,Platformer
1172380,Space
1172380,RPG
1172380,Fighting
1172380,Puzzle
1172380,Adventure
1172380,Metroidvania
1172380,Fantasy
1172380,Atmospheric
1172380,Hack and Slash
1172380,Family Friendly
1172470,Free to Play
1172470,Battle Royale
1172470,Multiplayer
1172470,FPS
1172470,Shooter
1172470,First-Person
1172470,PvP
1172470,Action
1172470,Hero Shooter
1172470,Team-Based
1172470,Tactical
1172470,Sci-fi
1172470,Loot
1172470,Survival
1172470,Co-op
1172470,Character Customization
1172470,Funny
1172470,Lore-Rich
1172470,Cyberpunk
1172470,Cinematic
1172620,Multiplayer
1172620,Open World
1172620,Adventure
1172620,Pirates
1172620,Co-op
1172620,Online Co-Op
1172620,PvP
1172620,Action
1172620,Sailing
1172620,First-Person
1172620,Exploration
1172620,Naval
1172620,PvE
1172620,Funny
1172620,Massively Multiplayer
1172620,FPS
1172620,Atmospheric
1172620,Swordplay
1172620,Great Soundtrack
1172620,Singleplayer
1174180,Open World
1174180,Story Rich
1174180,Western
1174180,Adventure
1174180,Multiplayer
1174180,Action
1174180,Realistic
1174180,Singleplayer
1174180,Shooter
1174180,Atmospheric
1174180,Horses
1174180,Beautiful
1174180,Mature
1174180,Third-Person Shooter
1174180,Great Soundtrack
1174180,Third Person
1174180,Gore
1174180,Sandbox
1174180,First-Person
1174180,FPS
1178830,Action
1178830,Female Protagonist
1178830,Sexual Content
1178830,FPS
1178830,Indie
1178830,Singleplayer
1178830,Shooter
1178830,Sci-fi
1178830,Hack and Slash
1178830,First-Person
1178830,Mature
1178830,Gore
1178830,Violent
1178830,Souls-like
1178830,Character Customization
1178830,Short
1178830,Multiplayer
1178830,Swordplay
1178830,Futuristic
1178830,Realistic
1184370,Singleplayer
1184370,Action RPG
1184370,3D
1184370,Third Person
1184370,Lore-Rich
1184370,Adventure
1184370,Turn-Based Combat
1184370,Rogue-lite
